stratum,outcome,estimator,spec,family,bheard_bound,episode_set,n_episodes,n_districts,post_window,draw_post_window,first_week_chi2,first_week_mean_coef,first_week_mean_se,path_coefs,path_ses,n_first_week_coefs,p_randomization,p_asymptotic,p_bh_adjusted,ri_scheme,ri_exact,n_draws,n_admissible_starts,null_sd,n_obs,status,note,data_source,null_certified,draws_requested,draws_prespecified,calibration_sims,calibration_scheme,freeze_active_at_run,overwrite_reason
C2_exposed,edp_share,OLS_share,sens_geocoding_clean,sensitivity,early,primary,30,,14,14,,,,,,,,,,,,0,,,,IDENTICAL_TO_PRIMARY: no episode window contains a break,nan missing_district_step 2016-01-01,REAL,True,2000,2000,1000,anchor_shift,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C2_exposed,mh_narrow_share,OLS_share,sens_geocoding_clean,sensitivity,early,primary,30,,14,14,,,,,,,,,,,,0,,,,IDENTICAL_TO_PRIMARY: no episode window contains a break,nan missing_district_step 2016-01-01,REAL,True,2000,2000,1000,anchor_shift,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C2_exposed,injury_share,OLS_share,sens_coverage_clean,sensitivity,early,primary,30,,14,14,,,,,,,,,,,,0,,,,IDENTICAL_TO_PRIMARY: no episode window contains a break,INJALS last_date 2015-12-16; nan missing_district_step 2016-01-01,REAL,True,2000,2000,1000,anchor_shift,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
pooled,edp_share,OLS_share_dose_per_sd,dose_response,secondary,early,primary,45,59.0,14,14,,0.0008045641255696864,0.0003841592289149301,,,,,0.03644512024527491,,,,0,,,68558.0,OK,"effect per SD of peak episode intensity; secondary, asymptotic p only (addendum 9)",REAL,True,2000,2000,200,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
pooled,mh_narrow_share,OLS_share_dose_per_sd,dose_response,secondary,early,primary,45,59.0,14,14,,0.001104588297951609,0.0003930792372653548,,,,,0.0050359326075000155,,,,0,,,68558.0,OK,"effect per SD of peak episode intensity; secondary, asymptotic p only (addendum 9)",REAL,True,2000,2000,200,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,edp_share,OLS_share,primary,primary_H1,early,primary,15,59.0,14,14,25.324421923526298,-0.0005865764133764135,0.0013561674815364424,"[0.0006084522864829269, 0.0027686510014296745, 0.0012021547432492885, -0.0024605503537374167, 0.0003485220730885594, -0.00320081419630825, -0.0016614637567841223, -0.002297563104431968]","[0.001492664652506832, 0.0015551268554031981, 0.002247557538570921, 0.0016754923158707152, 0.002261769141369975, 0.0018122538847746164, 0.0017684007417570022, 0.001994607880015857]",8.0,0.011494252873563218,0.0013694402281865155,0.0559720139930035,circular_within_block_fw7,0.0,2000,685.0,5.197474522209958,23128.0,OK,,REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,edp,PPML_count_offset,primary,primary_H1,early,primary,15,59.0,14,14,26.112992047457887,0.009454546209829138,0.016231379197011574,"[0.03393951752414182, 0.04322005558895249, 0.03225585463182242, -0.016573513920991347, 0.02677479456078352, -0.030192630328542108, 0.001182482955789367, -0.014970191333323073]","[0.018294701050539906, 0.01833990999386943, 0.026489455773961827, 0.02183742619899923, 0.02975571532832621, 0.02394193485044014, 0.02025147281429566, 0.023903249048048057]",8.0,0.013993003498250875,0.00100454229698832,0.0559720139930035,circular_within_block_fw7,0.0,2000,685.0,5.307128664095517,23128.0,OK,,REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,mh_narrow_share,OLS_share,primary,primary_H1,early,primary,15,59.0,14,14,22.565848447487497,-0.0007357472595112095,0.0015729097135186824,"[-0.0016649396132620603, 0.0029449661996540726, 0.0006491190965136716, -0.0011543524740063578, -1.220175985898462e-05, -0.0030612540889235922, -0.0010052265403256838, -0.0025820888958807417]","[0.0017187931797355532, 0.0017798504696646, 0.0022296866584227003, 0.0018924932784285496, 0.0028440517211458815, 0.0019469317021201158, 0.0020419200049405966, 0.0020775043761583835]",8.0,0.02848575712143928,0.003968740669400545,0.07596201899050474,circular_within_block_fw7,0.0,2000,685.0,5.201164515484512,23128.0,OK,,REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,mh_narrow,PPML_count_offset,primary,primary_H1,early,primary,15,59.0,14,14,17.09419823016416,-0.00012972628451939257,0.01420005021398286,"[-0.0005975208403934327, 0.028098221631277044, 0.01767381989810538, -0.007468445834411689, 0.004609833309583466, -0.02596645849597395, 0.0031034405180110324, -0.02049070046235299]","[0.015460815789619494, 0.016106077909451587, 0.019893806471010935, 0.019441376827849997, 0.02940655139856316, 0.01866916822028545, 0.019324697935513963, 0.019820899144671653]",8.0,0.08945527236381809,0.029143011838963142,0.17891054472763618,circular_within_block_fw7,0.0,2000,685.0,5.222108343578909,23128.0,OK,,REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,edp,PPML_count_no_offset,diag_raw_count,diagnostic,early,primary,15,59.0,14,14,28.53264952487547,-0.011795458334677746,0.012542012657419915,"[0.019071874584535804, 0.030911753876773675, 0.0028561396771018387, -0.038470967289495554, 0.019245400368186786, -0.052634613389434676, -0.01859344280278489, -0.05674981170230495]","[0.01752620815885671, 0.015141033029720046, 0.027824135227096935, 0.022730137437781014, 0.02355961665581982, 0.021582346442303453, 0.02054985937275998, 0.02711047433514762]",8.0,0.011494252873563218,0.00038287915139086505,,circular_within_block_fw7,0.0,2000,685.0,5.60883733061712,23128.0,OK,"PPML on the count, no offset, every district-day (addendum 23.3, 30)",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,mh_narrow,PPML_count_no_offset,diag_raw_count,diagnostic,early,primary,15,59.0,14,14,18.341504401382434,-0.01965160266964823,0.014977002640731596,"[-0.014271944968942886, 0.01656387012201836, -0.00993228422292329, -0.02782978241390568, -0.00044050445860964764, -0.046031566420017184, -0.014408720766032982, -0.060861888228772504]","[0.017976889579642705, 0.01816885478077334, 0.023400443919418278, 0.022952374888046224, 0.02536595533206419, 0.020449539944600893, 0.020292063180955878, 0.025480289946990566]",8.0,0.07746126936531735,0.01880694763170088,,circular_within_block_fw7,0.0,2000,685.0,5.374253843537141,23128.0,OK,"PPML on the count, no offset, every district-day (addendum 23.3, 30)",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,total_calls,PPML_count_no_offset,diag_total_dispatches,diagnostic,early,primary,15,59.0,14,14,7.307336178397027,-0.01584998528942623,0.010489689210201726,"[-0.010898006699385534, -0.008995640381506789, -0.02329178361662399, -0.017073238286501532, 0.0006700087635779397, -0.017114671047908737, -0.012892236876782407, -0.037204314170278786]","[0.01279811804654519, 0.013800461663041464, 0.015488005797556105, 0.015711876975625105, 0.02028731491354148, 0.016585879982172775, 0.01542497765407911, 0.015470949094409539]",8.0,0.5422288855572214,0.5038653857501885,,circular_within_block_fw7,0.0,2000,685.0,4.93595153729602,23128.0,OK,"PPML on total dispatches, no offset, every district-day (addendum 23.3, 30)",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,cardiac_share,OLS_share,placebo,placebo,early,primary,15,59.0,14,14,12.661242078439935,0.0012101972352019925,0.0014619187542848932,"[0.001370695354653114, 0.001769457513708835, -0.000652034584992832, -0.0014213524756813457, 0.0013474215510209822, 0.0010665413858958895, 0.002984996648171083, 0.003215852488840213]","[0.0019857275234148567, 0.0019457991019559413, 0.0019645555777409174, 0.0016844965270144722, 0.0018345000892249638, 0.0018802820625323183, 0.002440797203318429, 0.0018771842636347862]",8.0,0.2608695652173913,0.12404895808515218,,circular_within_block_fw7,0.0,2000,685.0,5.931624431060258,23128.0,OK,"falsification, not confirmation",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,cardiac,PPML_count_offset,placebo,placebo,early,primary,15,59.0,14,14,8.050331456235822,0.013849944176758743,0.019312688211381678,"[0.018082566688853424, 0.017657079682553204, -0.0022843391729650436, -0.012774461307578262, 0.012495428751233438, 0.02184896880058481, 0.025817776026664734, 0.02995653394472364]","[0.024050160687574058, 0.023629531027171677, 0.02553245513096426, 0.021614185670165938, 0.026103693697816552, 0.023719533816835878, 0.029050414464518507, 0.024162791867691043]",8.0,0.559720139930035,0.4285691024430719,,circular_within_block_fw7,0.0,2000,685.0,5.770857200579994,23128.0,OK,"falsification, not confirmation",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,injury_share,OLS_share,placebo,placebo,early,primary,15,59.0,14,14,9.631225460548423,-0.001852611432996069,0.001907790831124892,"[0.002290173276394947, -0.004929952530088311, -0.0022304258951330092, -0.001701733643693543, -0.0006412448197548625, -0.0006219991323024468, -0.0026089926282696343, -0.004376716091121691]","[0.002539992592275607, 0.0031876194357572966, 0.0026645291645628257, 0.0027654446623724123, 0.00313361294247498, 0.0039474362125246736, 0.0025178704944205984, 0.0025655522346811283]",8.0,0.3453273363318341,0.291868542439933,,circular_within_block_fw7,0.0,2000,685.0,5.130340681597114,23128.0,OK,"falsification, not confirmation",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,injury,PPML_count_offset,placebo,placebo,early,primary,15,59.0,14,14,10.025467809128639,-0.01192149377513562,0.009328633012762487,"[0.012790266944173161, -0.023897520477530833, -0.01835830153095996, -0.017134635891667842, -0.010390755034442223, -0.004281319377825594, -0.014341046917337069, -0.0197586379154946]","[0.012745188490539048, 0.016955194488618305, 0.012512819732200841, 0.014968005504824819, 0.015149579510009751, 0.019534769389761696, 0.012451023216060246, 0.013825518934004164]",8.0,0.3713143428285857,0.2632429579435197,,circular_within_block_fw7,0.0,2000,685.0,4.942753210274907,23128.0,OK,"falsification, not confirmation",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,asthma_share,OLS_share,placebo,placebo,early,primary,15,59.0,14,14,13.404483207663946,0.0001842497175295876,0.0006530342817127128,"[-0.0007954783505483554, 0.000565903438179148, 0.0002566316764816887, 0.00017068910641552073, 0.00018930667869418997, 0.00010946991584712941, 7.949512508505476e-05, 0.0008979801500823249]","[0.0007534033877638341, 0.0007924210793192095, 0.0007419879524367732, 0.0007772603067245067, 0.0007427261474134585, 0.0007447373602186467, 0.0008483467137081571, 0.0007412319336752284]",8.0,0.1619190404797601,0.09866973926159123,,circular_within_block_fw7,0.0,2000,685.0,4.507747489833869,23128.0,OK,"falsification, not confirmation",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,asthma,PPML_count_offset,placebo,placebo,early,primary,15,59.0,14,14,8.069660468069474,0.03037724261018674,0.05948108887429609,"[-0.043900883034387085, 0.058235441657532555, 0.03621857719760234, 0.0298418549875705, 0.040472490878655516, 0.0204359499041434, 0.01298124905552769, 0.08873326023484901]","[0.07138886576230245, 0.07395073660611585, 0.07504044206388691, 0.07035180895156397, 0.07217803263561802, 0.07456851852895591, 0.07130680606378569, 0.0679189858547723]",8.0,0.5792103948025987,0.4266952438935203,,circular_within_block_fw7,0.0,2000,685.0,5.378994955887558,23128.0,OK,"falsification, not confirmation",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,edp_share,OLS_share,sens_post28,sensitivity,early,primary,15,59.0,28,14,26.42678877448419,-0.0004770049818063292,0.001381121220380288,"[0.0008039490776883345, 0.002754955108656099, 0.0013427871811870543, -0.002355088856796498, 0.0003634598045347199, -0.002962572099709766, -0.001661463756784013, -0.0021020663132265646]","[0.0014992678956151804, 0.00154103946789069, 0.002268991829524624, 0.001683823706231983, 0.0022779028634830885, 0.001784808231719291, 0.0018298999311500907, 0.0020490425601773494]",8.0,0.0069965017491254375,0.0008874373700800208,,circular_within_block_fw7,0.0,2000,685.0,5.1823775766536615,31270.0,OK,28-day post window (addendum 3); placebo starts drawn on the certified 14-day geometry; tails truncate at the stratum edge (addendum 17),REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,edp,PPML_count_offset,sens_post28,sensitivity,early,primary,15,59.0,28,14,25.265396148445976,0.010806009425958588,0.016159226702149948,"[0.03599474349942833, 0.041847795733255665, 0.03407593559639889, -0.014804201061045753, 0.026757174297813494, -0.025727335211956397, 0.0012384345952514983, -0.012934472041477022]","[0.018010883581319276, 0.017887716686310257, 0.026409759539781263, 0.021660942594588752, 0.029645881471364897, 0.023826607160274207, 0.021298223335419638, 0.024206716579883405]",8.0,0.01699150424787606,0.001401440892898411,,circular_within_block_fw7,0.0,2000,685.0,5.450835426383348,31270.0,OK,28-day post window (addendum 3); placebo starts drawn on the certified 14-day geometry; tails truncate at the stratum edge (addendum 17),REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,mh_narrow_share,OLS_share,sens_post28,sensitivity,early,primary,15,59.0,28,14,20.384858138642254,-0.0005696711220597919,0.0015631828392215965,"[-0.0014229234634179446, 0.0028747105919409398, 0.0008626793947823298, -0.0009338789145755595, 6.990633057419732e-05, -0.0026625636294200974, -0.0010052265403255782, -0.0023400727460366217]","[0.001679904432928044, 0.0017518544731766157, 0.0021996615147250177, 0.001869017759298995, 0.002844676809630277, 0.0019263160810909243, 0.0020519452687820885, 0.0020873659115174456]",8.0,0.04597701149425287,0.008974053808842364,,circular_within_block_fw7,0.0,2000,685.0,5.413820361560687,31270.0,OK,28-day post window (addendum 3); placebo starts drawn on the certified 14-day geometry; tails truncate at the stratum edge (addendum 17),REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,mh_narrow,PPML_count_offset,sens_post28,sensitivity,early,primary,15,59.0,28,14,14.170646466913409,0.0014543656724375024,0.013651103836672047,"[0.0017474731904838568, 0.02683162684306791, 0.01973617149103001, -0.0050454330979837515, 0.004796616598356181, -0.02121367052224411, 0.0031733203178223655, -0.01839117944103244]","[0.014871418223926942, 0.01548169297806996, 0.019199316018442256, 0.018906961995619892, 0.029211089015797085, 0.01846832703200312, 0.01949692162620139, 0.019386241007349002]",8.0,0.17691154422788605,0.07742458521504184,,circular_within_block_fw7,0.0,2000,685.0,5.161589094397235,31270.0,OK,28-day post window (addendum 3); placebo starts drawn on the certified 14-day geometry; tails truncate at the stratum edge (addendum 17),REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,edp_share,OLS_share,sens_post60,sensitivity,early,primary,15,59.0,60,14,23.421939257718186,-0.00047039057970847133,0.0014126761413841328,"[0.0006815769921665705, 0.0025770062116798956, 0.0013271243756461204, -0.0021977619840871567, 0.0005506473268183363, -0.0028158154043590442, -0.0016614637567841687, -0.0022244383987483234]","[0.0015226183451191656, 0.0015591155737186976, 0.0022858674392402275, 0.0017120667438762244, 0.002325538934745801, 0.001856773542083838, 0.0018838600498381286, 0.002087290058661709]",8.0,0.01899050474762619,0.002862729687494036,,circular_within_block_fw7,0.0,2000,685.0,5.15702577517337,38704.0,OK,60-day post window (addendum 3); placebo starts drawn on the certified 14-day geometry; tails truncate at the stratum edge (addendum 17),REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
