article,person,scope_decision,in_registry,construct,reason,evidence_category,n_categories,wikidata_country,us_evidence,non_us_evidence,article_first_sentence
Killing_of_Jonny_Gammage,Jonny Gammage,exclude,False,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,10,,1990s crimes in Pennsylvania,,"On October 12, 1995, African-American businessman Jonny Gammage was killed by police officers from several departments around Pittsburgh."
Killing_of_Kuanchung_Kao,Kuanchung Kao,exclude,False,police_violence,police-action category: Asian people shot dead by law enforcement officers in California,Asian people shot dead by law enforcement officers in California,8,,1997 in California,,"The killing of Kuanchung Kao occurred on April 29, 1997, in Rohnert Park, California"
Killing_of_Amadou_Diallo,Amadou Diallo,exclude,False,police_violence,police-action category: African people shot dead by law enforcement officers in the United States,African people shot dead by law enforcement officers in the United States,12,United States,1999 controversies in the United States,,"In the early hours of February 4, 1999, 23-year-old Amadou Diallo, an unarmed Guinean student, was struck with 19 of 41 rounds fired by four New York City Police Department plainclothes officers: Sean Carroll, Richard Murphy, Edward McMellon, and Kenneth Boss"
Killing_of_Kendra_James,Kendra James,exclude,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in the United States,African Americans shot dead by law enforcement officers in the United States,11,,African Americans shot dead by law enforcement officers in the United States,,"Kendra James was a 21-year-old African-American Oregonian mother of two, who was fatally shot by police on May 5, 2003"
Killing_of_Bich_Cau_Thi_Tran,Bich Cau Thi Tran,exclude,False,police_violence,police-action category: Asian people shot dead by law enforcement officers in California,Asian people shot dead by law enforcement officers in California,11,,2003 in California,,"The killing of Bich Cau Thi Tran (also known incorrectly as Cau Bich Tran) occurred in San Jose, California, on July 13, 2003"
Killing_of_Daniel_Rocha,Daniel Rocha,exclude,False,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in Texas,Hispanic and Latino American people shot dead by law enforcement officers in Texas,7,,Hispanic and Latino American people shot dead by law enforcement officers in Texas,,"Daniel Rocha (died June 9, 2005) was an 18-year-old man who was shot and killed in southeast Austin, Texas by police officer Julie Schroder, a seven-year veteran of the Austin Police Department, on June 9, 2005"
Killing_of_Fouad_Kaady,Fouad Kaady,exclude,False,police_violence,police-action category: People murdered by law enforcement officers in the United States,People murdered by law enforcement officers in the United States,7,,People murdered by law enforcement officers in the United States,,"Fouad Kaady (January 8, 1978 – September 8, 2005) was a resident of Gresham, Oregon who was shot to death by police after being injured in a car wreck."
Killing_of_Rigoberto_Alpizar,Rigoberto Alpizar,exclude,False,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in the United States,Hispanic and Latino American people shot dead by law enforcement officers in the United States,11,United States,2005 in Florida,,"Rigoberto Alpizar (April 17, 1961 – December 7, 2005) was a Costa Rican-born United States citizen who was fatally shot at Miami International Airport by two United States Federal Air Marshals"
Death_of_Martin_Anderson,Martin Anderson,exclude,False,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,7,,Asphyxia-related deaths by law enforcement in the United States,,Martin Lee Anderson (c
Killing_of_Christopher_Penley,Christopher Penley,exclude,False,police_violence,police-action category: Law enforcement in Florida,Law enforcement in Florida,7,,2006 in Florida,,"Christopher Penley, a 15-year-old boy, was killed on January 13, 2006, at Milwee Middle School in Longwood, Florida"
Death_of_Otto_Zehm,Otto Zehm,exclude,False,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,11,United States,2006 in Washington (state),,"Otto Zehm (October 31, 1969 – March 20, 2006) was a man with a developmental disability from Spokane, Washington, who died on March 20, 2006, during an altercation with police officer Karl F"
Killing_of_Michael_Cho,Michael Cho,exclude,False,police_violence,police-action category: Asian people shot dead by law enforcement officers in California,Asian people shot dead by law enforcement officers in California,10,,Asian people shot dead by law enforcement officers in California,,"The shooting of Michael Sungman Cho occurred on December 31, 2007, in the Orange County city of La Habra, California"
Killing_of_Oscar_Grant,Oscar Grant,exclude,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in California,African Americans shot dead by law enforcement officers in California,23,United States,2009 controversies in the United States,,"Oscar Grant  was a 22-year-old Black man who was killed in the early morning hours of New Year's Day 2009 by BART Police Officer Johannes Mehserle in Oakland, California"
Killing_of_Anastasio_Hernández-Rojas,Anastasio Hernández-Rojas,exclude,False,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,9,,2010 controversies in the United States,,"Anastasio Hernández-Rojas was killed by United States Customs and Border Protection officers on May 28, 2010"
Killing_of_Aiyana_Jones,Aiyana Jones,exclude,False,police_violence,police-action category: Detroit Police Department,Detroit Police Department,18,United States,2010 controversies in the United States,,"Aiyana Mo'Nay Stanley-Jones (July 20, 2002 – May 16, 2010) was a seven-year-old African American girl from Detroit's East Side who was shot in the neck and killed by police officer Joseph Weekley during a raid conducted by the Detroit Police Department's Special Response Team"
Killing_of_Jose_Guerena,Jose Guerena,exclude,False,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in the United States,Hispanic and Latino American people shot dead by law enforcement officers in the United States,10,,2011 in Arizona,,Jose Guerena (also spelled Guereña) was a U.S
Killing_of_Kelly_Thomas,Kelly Thomas,exclude,False,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,20,,2011 in California,,"Kelly Thomas (April 5, 1974 – July 10, 2011) was a homeless white man diagnosed with schizophrenia who lived on the streets of Fullerton, California"
Death_of_Elliott_Williams,Elliott Williams,exclude,False,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,5,,Deaths in police custody in the United States,,"Elliott Earl Williams (born 1974) was a US Army veteran who died in the Tulsa County, Oklahoma jail on October 27, 2011"
Killing_of_Ramarley_Graham,Ramarley Graham,exclude,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in the Bronx,African Americans shot dead by law enforcement officers in the Bronx,14,United States,2012 controversies in the United States,,"The killing of Ramarley Graham took place in the borough of the Bronx in New York City on February 2, 2012"
Killing_of_Trayvon_Martin,Trayvon Martin,exclude,False,unestablished,no law-enforcement category among 19,,19,United States,2012 controversies in the United States,,"On the evening of February 26, 2012, in Sanford, Florida, United States, George Zimmerman fatally shot Trayvon Martin, a 17-year-old African-American teenager"
Killing_of_Rekia_Boyd,Rekia Boyd,exclude,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Illinois,African Americans shot dead by law enforcement officers in Illinois,8,United States,African Americans shot dead by law enforcement officers in Illinois,,"Rekia Boyd (November 5, 1989 - March 21, 2012) was a 22-year-old Black American woman who was fatally shot in Chicago, Illinois by Dante Servin, an off-duty Hispanic Chicago police detective, on March 21, 2012."
Killing_of_Mohamed_Bah,Mohamed Bah,exclude,False,police_violence,police-action category: African people shot dead by law enforcement officers in the United States,African people shot dead by law enforcement officers in the United States,7,,African people shot dead by law enforcement officers in the United States,,"On September 25, 2012, Mohamed Bah, a 28-year-old Guinean national, was fatally shot eight times inside his Harlem apartment by New York City police officers"
Murder_of_Jordan_Davis,Jordan Davis,exclude,False,unestablished,no law-enforcement category among 21,,21,United States,2010s crimes in Florida,,"On November 23, 2012, Jordan Davis, an African-American 17-year-old, was murdered in the parking lot of a Gate Petroleum gas station in Jacksonville, Florida by Michael David Dunn, a 45-year-old software developer, during a car-to-car  quarrel over loud music being played by the occupants of the vehicle Davis was seated in"
Killing_of_Timothy_Russell_and_Malissa_Williams,Timothy Russell and Malissa Williams,exclude,False,police_violence,police-action category: Cleveland Division of Police,Cleveland Division of Police,15,United States,2012 in Ohio,,"The shooting deaths of Timothy Russell and Malissa Williams, two Black American individuals, occurred in East Cleveland, Ohio on November 29, 2012, when the sound of vehicle's exhaust backfiring caused police to erroneously claim shots were fired at them as Russell and Williams drove by"
Death_of_Adama_Traoré,Adama Traoré,exclude,False,unestablished,"only a topic category, which does not name an actor: Police brutality in Europe",Police brutality in Europe,11,France,,2010s in Île-de-France,Adama Traoré (French pronunciation: [adama tʁaɔʁe]; 19 July 1992 – 19 July 2016) was a black French man of Malian descent who died in custody after being restrained and apprehended by police
Death_of_Abdirahman_Abdi,Abdirahman Abdi,exclude,False,police_violence,police-action category: Deaths in police custody in Canada,Deaths in police custody in Canada,6,Canada,,Deaths in police custody in Canada,"The death of Abdirahman Abdi (Somali: Cabdiraxmaan Cabdi), a Somali-Canadian, occurred on July 24, 2016, in the neighbourhood of Hintonburg in Ottawa, Ontario"
Killing_of_Lorenzo_Salgado_Araujo,Lorenzo Salgado Araujo,exclude,False,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in Texas,Hispanic and Latino American people shot dead by law enforcement officers in Texas,8,United States,2026 in Texas,,"On July 7, 2026, Lorenzo Salgado Araujo, a 52-year-old Mexican man, was shot and killed by a United States Immigration and Customs Enforcement (ICE) officer in Houston, Texas, United States"
Death_of_Alonzo_Brooks,Alonzo Brooks,exclude,False,police_violence,police-action category: Law enforcement in Kansas,Law enforcement in Kansas,17,,2000s in Kansas,,"On May 1, 2004, the body of Alonzo Brooks was found in La Cygne, Kansas, about a month after he was reported missing after April 3, 2004."
Death_of_Chavis_Carter,Chavis Carter,exclude,False,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,8,,2012 in Arkansas,,"The death of Chavis Carter occurred on July 29, 2012"
Death_of_Michael_Stewart,Michael Stewart,exclude,False,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,16,United States,1983 in New York City,,"Michael Jerome Stewart (May 9, 1958 – September 28, 1983) was an African-American man arrested by New York City Transit Police officers for writing graffiti in soft-tip marker or using an aerosol can on a New York City Subway wall at the First Avenue station"
Killing_of_Archie_Elliott_III,Archie Elliott III,exclude,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in the United States,African Americans shot dead by law enforcement officers in the United States,4,,1993 in Maryland,,"The killing of Archie Elliott III, a black 24-year-old, occurred on June 18, 1993, in District Heights, Maryland"
Killing_of_Carnell_Russ,Carnell Russ,exclude,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in the United States,African Americans shot dead by law enforcement officers in the United States,8,,1971 in Arkansas,,"Carnell Russ was a 24-year African American mill worker killed by white Star City, Arkansas police officer Charles Lee Ratliff on Memorial Day, May 31, 1971"
Killing_of_Corey_Ruiz,Corey Ruiz,exclude,False,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,10,,2026 controversies in the United States,,"Corey Ruiz was a 37-year-old man who was shot and killed by police in Madison, Wisconsin, on July 22, 2026"
Killing_of_Eurie_Martin,Eurie Martin,exclude,False,police_violence,police-action category: Law enforcement in Georgia (U.S. state),Law enforcement in Georgia (U.S. state),12,,2017 controversies in the United States,,"Eurie Martin was a 58-year-old mentally ill African-American man who died while being detained on the evening of July 7, 2017"
Killing_of_Fong_Lee,Fong Lee,exclude,False,police_violence,police-action category: Asian people shot dead by law enforcement officers in the United States,Asian people shot dead by law enforcement officers in the United States,7,United States,Asian people shot dead by law enforcement officers in the United States,,"On July 22, 2006, Minneapolis Police Department officer Jason Andersen shot Fong Lee—a 19-year-old Hmong American man—eight times (including four times in the back) while pursuing him for arrest"
Killing_of_Irvo_Otieno,Irvo Otieno,exclude,False,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,10,,2023 controversies in the United States,,"On March 6, 2023, 28-year-old Irvo Otieno died after he was restrained by Henrico County sheriff's deputies and hospital employees at Central State Hospital in Dinwiddie County, Virginia, near Petersburg"
Killing_of_Kenneth_Chamberlain_Sr.,Kenneth Chamberlain Sr.,exclude,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in New York (state),African Americans shot dead by law enforcement officers in New York (state),8,United States,2011 in New York (state),,"Kenneth Chamberlain Sr was fatally shot by police on November 19, 2011, in White Plains, New York"
Killing_of_Luana_Barbosa_dos_Reis,Luana Barbosa dos Reis,exclude,False,unestablished,"only a topic category, which does not name an actor: Police brutality in Brazil",Police brutality in Brazil,14,Brazil,,2016 in Brazil,"On 8 April 2016, Luana Barbosa dos Reis (12 November 1981 – 13 April 2016), a gay Afro-Brazilian woman, was fatally injured after being assaulted by police officers in Ribeirão Preto, São Paulo, dying five days later at a local hospital"
Killing_of_Malice_Green,Malice Green,exclude,False,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,10,,American victims of crime,,"Malice Green (April 29, 1957 – November 5, 1992) was an American resident of Detroit, Michigan who died after being assaulted by Detroit police officers Walter Budzyn and Larry Nevers on November 5, 1992"
Killing_of_Messiah_Nantwi,Messiah Nantwi,exclude,False,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,12,,2025 controversies in the United States,,"On March 1, 2025, Messiah Nantwi, a 22-year-old Black American man, was beaten by corrections officers who were part of an emergency response team at Mid-State Correctional Facility in Marcy, New York"
Killing_of_Ousmane_Zongo,Ousmane Zongo,exclude,False,police_violence,police-action category: African people shot dead by law enforcement officers in the United States,African people shot dead by law enforcement officers in the United States,12,,2003 in New York City,,"Ousmane Zongo (c. 1960 – May 22, 2003) was a Burkinabé arts trader living in the United States who was shot and killed by Brian Conroy, a New York City Police Department officer, during a warehouse raid on May 22, 2003"
Murder_of_David_Dorn,David Dorn,exclude,False,unestablished,no law-enforcement category among 11,,11,,2020 in Missouri,,"On June 2, 2020, David Dorn, a 77-year-old retired police captain, was fatally shot after interrupting the burglary of a pawn shop in The Ville, St"
Murder_of_Garrett_Foster,Garrett Foster,exclude,False,unestablished,no law-enforcement category among 18,,18,,2020 United States racial unrest,,"On July 25, 2020, Garrett Foster, a 28-year-old man, was murdered in Austin, Texas, by 30-year old Daniel Perry"
Murder_of_Jessie_Davis,Jessie Davis,exclude,False,police_violence,police-action category: Murders by law enforcement officers in the United States,Murders by law enforcement officers in the United States,14,,2000s crimes in Ohio,,"The murder of Jessie Davis was committed on June 14, 2007, in Lake Township, Ohio, United States"
Murder_of_James_Craig_Anderson,James Craig Anderson,include,False,unestablished,no law-enforcement category among 10,,10,United States,2011 in Mississippi,,"James Craig Anderson was a 47-year-old American man who was murdered in a hate crime in Jackson, Mississippi, on June 26, 2011, by 18-year-old Deryl Dedmon of Brandon"
Death_of_Tyrone_West,Tyrone West,include,True,police_violence,police-action category: Baltimore Police Department,Baltimore Police Department,12,,2013 in Maryland,,"On July 18, 2013, Tyrone West, a 44-year-old African American male, was pursued by two officers of the Baltimore Police Department after he fled a traffic stop during which cocaine was allegedly found"
Killing_of_Larry_Jackson_Jr.,Larry Jackson Jr.,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Texas,African Americans shot dead by law enforcement officers in Texas,7,United States,2013 in Texas,,"On July 26, 2013, 32-year-old Larry Jackson Jr"
Killing_of_Jonathan_Ferrell,Jonathan Ferrell,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in North Carolina,African Americans shot dead by law enforcement officers in North Carolina,7,United States,2013 in North Carolina,,"On September 14, 2013, Jonathan Ferrell (born October 11, 1988), a 24-year-old former college football player for the Florida A&M University Rattlers was involved in a car crash"
Killing_of_Andy_Lopez,Andy Lopez,include,True,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in California,Hispanic and Latino American people shot dead by law enforcement officers in California,7,United States,2013 in California,,"The fatal killing of Andy Lopez by Sonoma County sheriff's deputy Erick Gelhaus took place on October 22, 2013, in Santa Rosa, California"
Murder_of_Renisha_McBride,Renisha McBride,include,False,unestablished,no law-enforcement category among 10,,10,United States,2013 in Michigan,,"The murder of Renisha Marie McBride (April 11, 1994 – November 2, 2013), a 19-year-old African American woman, occurred on November 2, 2013, in Dearborn Heights, Michigan, United States"
Killing_of_James_Boyd,James Boyd,include,False,police_violence,police-action category: Albuquerque Police Department,Albuquerque Police Department,12,United States,2014 in New Mexico,,"James Matthew Boyd (April 8, 1975 – March 16, 2014) was an American man who was fatally shot by Albuquerque Police Department officers Keith Sandy and Dominique Perez in the foothills of the Sandia Mountains in Albuquerque, New Mexico on the evening of March 16, 2014"
Killing_of_Alex_Nieto,Alex Nieto,include,False,police_violence,police-action category: Hispanic and Latino American people shot dead by law enforcement officers in California,Hispanic and Latino American people shot dead by law enforcement officers in California,8,,Hispanic and Latino American people shot dead by law enforcement officers in California,,"Alejandro ""Alex"" Nieto was a man who was shot and killed by four San Francisco Police Department officers on March 21, 2014, in the Bernal Heights neighborhood of San Francisco, California"
Killing_of_Alfred_Redwine,Alfred Redwine,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in the United States,African Americans shot dead by law enforcement officers in the United States,8,United States,2014 in New Mexico,,"On March 25, 2014, Albuquerque Police officers shot and killed Alfred Redwine, a mentally ill African-American man"
Killing_of_Dontre_Hamilton,Dontre Hamilton,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Wisconsin,African Americans shot dead by law enforcement officers in Wisconsin,13,United States,2014 controversies in the United States,,"On April 30, 2014, Dontre Hamilton was shot and killed by police officer Christopher Manney, at Red Arrow Park in Milwaukee, Wisconsin"
Killing_of_Eric_Harris,Eric Harris,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,9,,2015 in Oklahoma,,"On April 2, 2015, 43-year-old African-American Eric Courtney Harris was fatally shot during an undercover sting in Tulsa, Oklahoma, as Harris ran from authorities unarmed"
Killing_of_Eric_Garner,Eric Garner,include,True,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,25,United States,2010s crimes in New York City,,"On July 17, 2014, Eric Garner, a 43-year-old African American man, was killed in the New York City borough of Staten Island by Daniel Pantaleo, a New York City Police Department (NYPD) officer, after putting him in a prohibited chokehold while arresting him"
Killing_of_John_Crawford_III,John Crawford III,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Ohio,African Americans shot dead by law enforcement officers in Ohio,14,United States,2014 controversies in the United States,,"On August 5, 2014, John Crawford III, a 22-year-old African-American man, was shot and killed by a police officer in a Walmart store in Beavercreek, Ohio, near Dayton, while he was holding a BB gun that was for sale in the store"
Killing_of_Michael_Brown,Michael Brown,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Missouri,African Americans shot dead by law enforcement officers in Missouri,18,United States,2014 controversies in the United States,,"On August 9, 2014, 18-year-old Michael Brown was shot and killed by police officer Darren Wilson in Ferguson, Missouri, a suburb of St"
Killing_of_Ezell_Ford,Ezell Ford,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in California,African Americans shot dead by law enforcement officers in California,11,United States,African Americans shot dead by law enforcement officers in California,,"Ezell Ford was a 25-year-old African-American man who was shot and killed by Los Angeles Police Department (LAPD) officers in Florence, Los Angeles, California on August 11, 2014"
Murder_of_Laquan_McDonald,Laquan McDonald,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Illinois,African Americans shot dead by law enforcement officers in Illinois,16,United States,2010s crimes in Illinois,,"On October 20, 2014, in Chicago, Illinois, Laquan McDonald, a 17-year-old boy, was murdered by Chicago Police officer Jason Van Dyke"
Killing_of_Akai_Gurley,Akai Gurley,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in New York City,African Americans shot dead by law enforcement officers in New York City,13,United States,2014 crimes in New York (state),,"Akai Gurley, a 28-year-old African American man, was fatally shot on November 20, 2014, in Brooklyn, New York City, United States, by a police officer"
Killing_of_Tamir_Rice,Tamir Rice,include,False,police_violence,police-action category: Cleveland Division of Police,Cleveland Division of Police,8,United States,2014 in Ohio,,"On November 22, 2014, Tamir E"
Killing_of_Antonio_Martin,Antonio Martin,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Missouri,African Americans shot dead by law enforcement officers in Missouri,15,United States,2014 in Missouri,,"On December 23, 2014, Antonio Martin, an 18-year-old African American, was fatally shot by a white police officer when Martin pulled a gun on him at a gas station in Berkeley, Missouri, a suburb of St"
Death_of_Natasha_McKenna,Natasha McKenna,include,True,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,6,,2015 in Virginia,,Natasha J
Killing_of_Antonio_Zambrano-Montes,Antonio Zambrano-Montes,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,10,,2015 in Washington (state),,"The shooting of Antonio Zambrano-Montes occurred on February 10, 2015, in Pasco, Washington, United States"
Killing_of_Charley_Leundeu_Keunang,Charley Leundeu Keunang,include,False,police_violence,police-action category: African people shot dead by law enforcement officers in the United States,African people shot dead by law enforcement officers in the United States,12,United States,African people shot dead by law enforcement officers in the United States,,"On March 1, 2015, Charley Leundeu Keunang, a 43-year-old Cameroonian national, was fatally shot by three Los Angeles Police Department officers"
Killing_of_Tony_Robinson,Tony Robinson,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Wisconsin,African Americans shot dead by law enforcement officers in Wisconsin,12,United States,2015 controversies in the United States,,"On March 6, 2015, Tony Robinson, an unarmed 19-year-old man, was fatally shot by police officer Matthew Kenny In Madison, Wisconsin, during a ""check-person"" call"
Killing_of_Anthony_Hill,Anthony Hill,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Georgia (U.S. state),African Americans shot dead by law enforcement officers in Georgia (U.S. state),10,United States,2015 controversies in the United States,,"The killing of Anthony Hill, a U.S"
Killing_of_Meagan_Hockaday,Meagan Hockaday,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in California,African Americans shot dead by law enforcement officers in California,9,,2015 controversies in the United States,,"Meagan Hockaday was a 26-year-old African American resident of Oxnard, California who was shot and killed by police officer Roger Garcia in the early hours of Saturday, March 28, 2015"
Killing_of_Walter_Scott,Walter Scott,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in South Carolina,African Americans shot dead by law enforcement officers in South Carolina,12,United States,2015 in South Carolina,,"On April 4, 2015, Walter Scott, a 50-year-old Black man, was fatally shot by Michael Slager, a local police officer in North Charleston, South Carolina, United States"
Killing_of_Freddie_Gray,Freddie Gray,include,True,police_violence,police-action category: Baltimore Police Department,Baltimore Police Department,17,United States,2015 controversies in the United States,,"On April 12, 2015, Freddie Carlos Gray Jr., a 25-year-old African-American, was arrested by the Baltimore Police Department for possession of a knife"
Death_of_Jonathan_Sanders,Jonathan Sanders,include,True,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,9,,2015 in Mississippi,,"On July 8, 2015, Jonathan Sanders, a 39-year-old Black man, died while being restrained by Stonewall, Mississippi police officer Kevin Herrington"
Death_of_Sandra_Bland,Sandra Bland,include,False,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,18,United States,2015 controversies in the United States,,"Sandra Annette Bland was a 28-year-old African-American woman who was found hanged in a jail cell in Waller County, Texas, on July 13, 2015, three days after being arrested during a traffic stop"
Killing_of_Samuel_DuBose,Samuel DuBose,include,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Ohio,African Americans shot dead by law enforcement officers in Ohio,19,United States,2015 controversies in the United States,,"On July 19, 2015, in Cincinnati, Ohio, Samuel DuBose, a Black unarmed non-university-affiliated motorist, was fatally shot by Ray Tensing, a University of Cincinnati police officer, after Dubose was stopped outside of the university campus for driving a car without a front license plate"
Killing_of_Zachary_Hammond,Zachary Hammond,include,True,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,7,United States,2015 in South Carolina,,"The killing of Zachary Hammond occurred on July 26, 2015, in Seneca, South Carolina"
Killing_of_Jeremy_McDole,Jeremy McDole,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in the United States,African Americans shot dead by law enforcement officers in the United States,13,,2015 controversies in the United States,,"Jeremy ""Bam Bam"" McDole was a 28-year-old African American paraplegic who was shot and killed by police in Wilmington, Delaware on September 23, 2015, at 3:00 pm"
Killing_of_Corey_Jones,Corey Jones,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Florida,African Americans shot dead by law enforcement officers in Florida,11,United States,African Americans shot dead by law enforcement officers in Florida,,"Corey Jones (February 3, 1984 – October 18, 2015) was shot to death by police officer Nouman K"
Killing_of_Jamar_Clark,Jamar Clark,include,True,police_violence,police-action category: African Americans shot dead by law enforcement officers in Minnesota,African Americans shot dead by law enforcement officers in Minnesota,14,United States,2015 controversies in the United States,,"On November 15, 2015, two police officers fatally shot Jamar Clark, a 24-year-old African-American man, in Minneapolis"
Shooting_of_Daniel_Shaver,Daniel Shaver,include,False,police_violence,police-action category: Filmed killings by law enforcement,Filmed killings by law enforcement,14,United States,2016 controversies in the United States,,"On January 18, 2016, Daniel Leetin Shaver of Granbury, Texas, was fatally shot by police officer Philip Brailsford in the hallway of a La Quinta Inn & Suites hotel in Mesa, Arizona"
